,Unnamed: 0,flare_id,tstart,tpeak,tend,peak_flux,BG_flux,flux_int,ratio,flux_int_corrected,delta_flux,fclass_simple,fclass_full,abs_class_simple,abs_class_full,flare_x,flare_y,Lon [Helioprojective],Lat [Helioprojective],Lon [Heliographic],Lat [Heliographic]
52,151179,2014--11866,2014-10-24 21:23:00,2014-10-24 21:41:00,2014-10-24 22:01:00,0.0004579595,0.0003096798,0.0143684437,1.47446222,0.0029102922,0.0001473652,X,X1.4,X,X4.5,2541.885103638385,1402.233802596251,292.8577369628187,-386.1547684626718,18.59948390810382,-18.66674517659065
53,151236,2014--11901,2014-10-25 16:24:00,2014-10-25 17:08:00,2014-10-25 17:24:00,0.0001495195,8.8873e-06,0.0038510245,16.7281421109,0.0033266746,0.0001405813,X,X1.4,X,X1.4,,,,,,
54,151298,2014--11929,2014-10-26 10:33:00,2014-10-26 10:56:00,2014-10-26 12:10:00,0.0002880139,7.704700000000001e-06,0.0104484359,37.2606655948,0.0097087894,0.0002802842,X,X2.8,X,X2.8,,,,,,
55,151375,2014--11972,2014-10-27 14:03:00,2014-10-27 14:47:00,2014-10-27 16:39:00,0.0002964857,3.9376e-06,0.0145781839,75.2580577949,0.0139678624,0.0002925461,X,X2.9,X,X2.9,3322.4867627266053,1567.6795847985022,761.1669865610644,-286.60784863405047,54.29015550113006,-14.438435761544389
56,151960,2014--12354,2014-11-05 09:34:00,2014-11-05 09:47:00,2014-11-05 10:53:00,0.0001141394,1.7963e-06,0.0018214299,63.4359887913,0.0016813183,0.0001123401,X,X1.1,X,X1.1,605.4321806831186,2439.8742123578454,-868.1089440295473,235.80513879433732,-68.36078607262863,15.560471526096448
57,152106,2014--12445,2014-11-07 17:01:00,2014-11-07 17:25:00,2014-11-07 19:01:00,0.0002301077,1.20106e-05,0.0060749814,18.9696696552,0.004645715,0.0002179774,X,X2.1,X,X2.3,1186.2801407566092,2365.1458319675685,-519.886120491894,191.1244933607196,-33.500614583710046,14.4342981225801
58,154513,2014--14110,2014-12-17 04:10:00,2014-12-17 04:51:00,2014-12-17 07:40:00,0.0001254865,2.4564e-06,0.0067785607,51.0292521271,0.006265169,0.0001230274,X,X1.2,X,X1.2,1684.5154112809507,1562.6711039224576,-221.47025884292088,-289.39311184166223,-13.793061706249091,-18.317265417222853
59,154708,2014--14227,2014-12-20 00:10:00,2014-12-20 00:27:00,2014-12-20 04:48:00,0.0002697066,1.4809e-06,0.0158981515,180.9348460019,0.0154879436,0.000268216,X,X2.6,X,X2.6,2940.302737193217,1563.554236976714,531.3589877172421,-288.6088620141255,34.868987736270974,-18.384902026649733
60,158157,2015--2037,2015-03-03 01:14:00,2015-03-03 01:35:00,2015-03-03 02:17:00,0.0001179375,1.8648e-06,0.0016601379,63.2200491314,0.0015445219,0.000116072,X,X1.1,X,X1.1,,,,,,
61,158626,2015--2346,2015-03-11 16:09:00,2015-03-11 16:21:00,2015-03-11 17:59:00,0.0003151007,1.5979e-06,0.0046695425,196.9868517976,0.0044953756,0.0003135011,X,X3.1,X,X3.1,1438.130416127154,1750.824373441207,-368.8712387587875,-177.3062094699573,-23.437197989881383,-17.16983239164472
62,161570,2015--4449,2015-05-05 22:04:00,2015-05-05 22:11:00,2015-05-05 23:02:00,0.0003925318,1.6236e-06,0.0030845272,239.2347448706,0.0029919831,0.000390891,X,X3.9,X,X3.9,553.5697209640593,2462.1556213721524,-897.5790425639134,247.85083299191612,-76.46983127672337,14.240129914176837
63,164525,2015--6501,2015-06-25 07:57:00,2015-06-25 08:16:00.000000,2015-06-25 08:23:00.000000,0.0001134658,6.841e-07,0.0008962277,165.4770577825,0.000879126,0.0001127801,X,X1.1,X,X1.1,3031.593765811882,2390.460695968893,588.2278177457882,205.1937705019013,39.839191386668254,14.1950837716037
64,168528,2015--9516,2015-09-28 14:53:00,2015-09-28 14:58:00,2015-09-28 15:38:00,0.0001093486,6.4407e-06,0.0012137608,16.8855289319,0.0009303688,0.0001028727,X,X1.0,X,X1.0,2715.77731225362,1313.0548028309029,398.0154102264201,-440.0059812998286,26.363043686560893,-21.145470229682637
65,178691,2016--4981,2016-07-23 04:58:00,2016-07-23 05:16:00,2016-07-23 05:27:00,0.0001094781,5.084e-07,0.0011751088,215.1175714382,0.0011608739,0.0001089692,X,X1.0,X,X1.0,3549.9423555779786,2140.389850526957,899.072703207464,55.00300479545435,72.5635844663691,4.881845675974113
66,185529,2017--3142,2017-09-06 08:45:00,2017-09-06 09:10:00,2017-09-06 09:23:00,0.0003696066,3.2283e-06,0.004317206,114.4217234166,0.0041977607,0.0003663764,X,X3.6,X,X3.6,2909.919009173629,1577.4827494071346,514.5874779942748,-282.3622145165865,33.304603911356004,-11.17192630732304
67,185533,2017--3144,2017-09-06 11:52:00,2017-09-06 12:02:00,2017-09-06 12:24:00,0.001337235,7.1895e-06,0.0181982394,184.1150981134,0.0179753663,0.001329972,X,X13.2,X,X13.3,2945.344030434787,1430.1225894596266,535.8539164743636,-370.6955816460811,35.928605552192494,-17.0274972677924
68,185601,2017--3191,2017-09-07 10:11:00,2017-09-07 10:15:00,2017-09-07 10:29:00,0.0001092019,2.463e-06,0.000461888,43.0436340762,0.0004200177,0.0001066649,X,X1.0,X,X1.0,3156.2468350005865,1714.1673198870658,662.2290101387615,-200.37233212659046,44.30624765771653,-6.960408490454063
69,185620,2017--3203,2017-09-07 14:14:00,2017-09-07 14:36:00,2017-09-07 14:46:00,0.0001990621,1.3375e-06,0.0018854031,148.2524756116,0.0018439396,0.0001977194,X,X1.9,X,X1.9,3238.0457258958186,1744.869123402627,711.2598742946885,-181.9500667688569,48.50721163841945,-6.216712644825962
70,185684,2017--3242,2017-09-08 07:40:00,2017-09-08 07:49:00,2017-09-08 08:21:00,0.0001162338,1.2951e-06,0.0018413941,89.6786269833,0.001789591,0.0001149377,X,X1.1,X,X1.1,3386.985306234972,1750.1127879966714,800.5451885060019,-178.7764152395903,57.658841730527,-6.96467383222405
71,185864,2017--3354,2017-09-10 15:34:00,2017-09-10 16:06:00,2017-09-10 20:26:00,0.0011880457,6.116e-07,0.0598528473,1936.1688113896,0.0596748732,0.0011874321,X,X11.8,X,X11.8,3650.6833806999903,1942.8318103070003,958.2276458355785,-62.890453010087974,,
72,192106,2021--1508,2021-07-03 14:20:00,2021-07-03 14:29:00,2021-07-03 14:59:00,0.0001593735,4.785000000000001e-07,0.0009720603,332.5734621446,0.000953876,0.0001588942,X,X1.5,X,X1.5,3486.27256818802,2610.513059829871,860.3609087985838,336.28509912841633,78.22224403312259,21.525377209006063
73,199928,2022--2570,2022-03-30 17:21:00,2022-03-30 17:37:00,2022-03-30 18:41:00,0.000137978,1.322e-06,0.002597769,104.1815685523,0.0024933291,0.0001366536,X,X1.3,X,X1.3,2886.1191676607136,2646.4920029263603,498.4736800138815,359.3050163555009,32.59189775374375,16.322517952575335
74,200633,2022--3061,2022-04-17 03:21:00,2022-04-17 03:34:00,2022-04-17 06:16:00,0.0001165006,2.0403e-06,0.0044176664,56.9676470935,0.0040626516,0.0001144556,X,X1.1,X,X1.1,497.2941127135027,2460.6079545533967,-932.7836679534521,246.76823770648926,,
75,200853,2022--3196,2022-04-20 03:44:00,2022-04-20 03:57:00,2022-04-20 04:25:00,0.0002246581,1.8373e-06,0.002113966,121.7241074303,0.0020404742,0.0002228124,X,X2.2,X,X2.2,3389.221295827463,1171.713721282273,801.1945993397293,-525.2237468995812,,
76,201427,2022--3578,2022-04-30 13:38:00,2022-04-30 13:47:00,2022-04-30 14:18:00,0.0001131287,2.3454e-06,0.000895306,48.2287296093,0.0008038373,0.0001107831,X,X1.1,X,X1.1,3576.5082099968813,2544.4335511101403,913.1609412455949,297.8629519065098,,
77,201554,2022--3667,2022-05-03 13:09:00,2022-05-03 13:25:00,2022-05-03 14:49:00,0.0001133615,6.453e-07,0.0012710381,175.3549126099,0.0012071583,0.000112715,X,X1.1,X,X1.1,652.3003275905791,1212.0622253905988,-839.6060506182257,-501.8208405099129,,
78,202060,2022--4000,2022-05-10 13:50:00,2022-05-10 13:55:00,2022-05-10 14:08:00,0.0001507482,4.6593e-06,0.000655983,32.3125455703,0.0005767755,0.0001460829,X,X1.4,X,X1.5,2142.970889093719,1277.3986599026518,54.28286254193878,-462.55865495076887,3.869635550358861,-32.178162865195226
79,214977,2023--184,2023-01-06 00:51:00,2023-01-06 00:57:00,2023-01-06 02:33:00,0.0001216366,2.0965e-06,0.0022393742,56.5912197868,0.0020276313,0.0001194873,X,X1.1,X,X1.2,553.8299924638724,1535.6694310168475,-901.4056777684018,-305.9587193045465,-77.46118401525683,-19.05797364373543
80,215264,2023--355,2023-01-09 18:35:00,2023-01-09 18:50:00,2023-01-09 20:01:00,0.0001976582,2.962e-06,0.0024391246,66.2426641125,0.0021873565,0.0001946743,X,X1.9,X,X1.9,580.1562217319869,1644.906875934575,-884.6677410297561,-240.50085544758585,-69.9751031585136,-15.626308655271789
